sex,age,region,agglomeration_type,personal_situation,main_profession,employment_status,internet_frequency,cultural_frequency,legality_type,legality_evolution,payment_type,monthly_spending,devices_films_series,vpn_usage,cracked_apps_usage,streaming_download_type,dns_settings_usage,paid_services_access,household_size,children_count,household_status,age_group,generation,children_count_numeric,household_size_numeric,has_children,family_stage,urbanity_bucket,internet_intensity_score,cultural_frequency_score,legality_score,payment_orientation_score,paid_access_score,vpn_score,dns_score,download_risk_score,cracked_apps_score,module_completion_rate,response_depth_score,engagement_score,risk_behavior_score,monetization_score,raw_content_paid_score,raw_content_category_count,raw_device_diversity,raw_illicit_channel_count,raw_illicit_frequency_mean,raw_illicit_method_count,raw_stream_ripping_score,raw_legal_offer_advantage_count,raw_legal_motivation_count,raw_behavioral_coverage_rate,content_depth_score,raw_risk_intensity_score,legal_value_perception_score,paying_user,hybrid_access_user,risky_behavior_user,payment_bucket,access_style,value_tier,high_value_user,under_monetized_engaged_user,consumer_segment,consumer_profile
Male,52,Bourgogne-Franche-Comté,Grande ville (100k–500k hab.),autre,,,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,autant légale,,0.0,,jamais,,,Jamais,compte partagé,1 personne,Aucun,célibataire,50-64,Gen X,0,1,False,Single / other,Urban,7,3.0,1.0,0.0,1.0,0,0,0.0,0.0,0.7,7,0.7124999999999999,0.0,0.1,0.0,0,0,0,0.0,0,0.0,0,5,0.0498220640569395,0.01494661921708185,0.0,5,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Male,56,Île-de-France,Autres / hors unité urbaine,actif,Ingénieurs et cadres techniques d'entreprise,Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,gratuit,0.0,Sur d’autres appareils,jamais,Non,Autant,Jamais,,2 personnes,Aucun,couple,50-64,Gen X,0,2,False,Couple without children,Other,7,4.0,1.0,1.0,0.0,0,0,1.0,0.0,0.9,9,0.8,1.0,0.1,1.0,7,7,0,0.0,0,4.333333333333333,0,0,0.12099644128113879,0.34254893238434164,4.333333333333333,0,False,False,True,Free-oriented,Legal Free,Non-spender,False,True,Heavy Free Users,Gen X | Free-oriented | without children
Female,40,Île-de-France,Autres / hors unité urbaine,actif,Employés administratifs d'entreprise,Salarié du privé ou association,Plusieurs fois par jour,,,davantage légale,,30.0,Sur d’autres appareils,occasionnellement,Oui,Gratuit,Jamais,abonné,3 personnes,1,couple,35-49,Millennial,1,3,True,Family with children,Other,7,0.0,0.0,0.0,2.0,2,0,3.0,3.0,0.7,7,0.65,8.0,0.5,2.0,6,13,0,0.0,0,1.0,0,0,0.1387900355871886,0.3478870106761566,1.0,0,True,False,True,Free-oriented,Unspecified,High spender,True,False,Low Engagement Users,Millennial | Free-oriented | with children
Male,49,Bourgogne-Franche-Comté,Grande ville (100k–500k hab.),actif,"Professeurs, professions scientifiques",Salarié de l’État,Plusieurs fois par jour,,,autant légale,,25.0,,occasionnellement,Non,Autant,De temps en temps,abonné,3 personnes,1,couple,35-49,Gen X,1,3,True,Family with children,Urban,7,0.0,0.0,0.0,2.0,2,1,1.0,0.0,0.7,7,0.65,4.0,0.5,2.875,8,7,0,0.0,0,4.333333333333333,0,0,0.16725978647686832,0.39392793594306047,4.333333333333333,0,True,False,True,Free-oriented,Unspecified,High spender,True,False,Low Engagement Users,Gen X | Free-oriented | with children
Female,50,Provence-Alpes-Côte d’Azur,Rural isolé,actif,Employés administratifs d'entreprise,Salarié du privé ou association,Plusieurs fois par jour,,,autant légale,,0.0,Sur d’autres appareils,régulièrement,Non,payante,Je ne sais pas ce que c’est,,2 personnes,Aucun,couple,50-64,Gen X,0,2,False,Couple without children,Rural,7,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.6,6,0.45,3.0,0.0,1.0,2,0,0,0.0,0,5.0,0,0,0.017793594306049824,0.08033807829181494,5.0,0,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Male,35,Nouvelle-Aquitaine,Bourg / petite agglomération,chômeur,Vous n'avez jamais travaillé,Travaille pour un membre de la famille non rémunéré,1 fois par jour ou presque,,,autant légale,,10.0,Sur d’autres appareils,régulièrement,Non,payante,Régulièrement,,1 personne,1,célibataire,35-49,Millennial,1,1,True,Family with children,Other,6,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.6,6,0.5857142857142856,5.0,0.3,1.0,1,0,0,0.0,0,3.0,0,0,0.014234875444839857,0.04177046263345195,3.0,0,True,False,True,Free-oriented,Unspecified,Mid spender,False,False,Casual Value Seekers,Millennial | Free-oriented | with children
Female,44,Bourgogne-Franche-Comté,Rural isolé,autre,,,Plusieurs fois par jour,Tous les jours ou presque,Légale,davantage légale,,0.0,,régulièrement,,,Jamais,Non,1 personne,Aucun,célibataire,35-49,Millennial,0,1,False,Single / other,Rural,7,4.0,1.0,0.0,0.0,3,0,0.0,0.0,0.7,7,0.8,3.0,0.0,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | without children
Male,65,Provence-Alpes-Côte d’Azur,Rural isolé,retraite,Cadres d'entreprise (administratifs et commerciaux),,Plusieurs fois par jour,,,autant légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,abonné,3 personnes,Aucun,couple,65+,Boomer+,0,3,False,Couple without children,Rural,7,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0.5,5,0.45,0.0,0.2,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | without children
Male,41,Grand Est,Ville moyenne (50k–100k hab.),actif,Employés de commerce,Salarié d’un particulier,Plusieurs fois par jour,,,,,0.0,,jamais,,,Je ne sais pas ce que c’est,,1 personne,Aucun,célibataire,35-49,Millennial,0,1,False,Single / other,Urban,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.4,4,0.45,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | without children
Male,40,Île-de-France,Autres / hors unité urbaine,actif,Cadres d'entreprise (administratifs et commerciaux),Chef d'entreprise à son compte,Plusieurs fois par jour,Tous les jours ou presque,Légale,davantage légale,,0.0,,régulièrement,,,De temps en temps,abonné,6 personnes,4 et plus,couple,35-49,Millennial,4,6,True,Family with children,Other,7,4.0,1.0,0.0,2.0,3,1,0.0,0.0,0.7,7,0.8,4.0,0.2,0.0,0,0,0,0.0,0,0.0,0,6,0.0498220640569395,0.01494661921708185,0.0,6,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | with children
Female,63,Grand Est,Ville moyenne (50k–100k hab.),retraite,"Contremaîtres, agents de maîtrise",,Plusieurs fois par jour,,,davantage légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,,1 personne,Aucun,célibataire,50-64,Boomer+,0,1,False,Single / other,Urban,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.4,4,0.45,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | without children
